cpu
Start!
Episode: 10000,  Step: 150359, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 20000,  Step: 319517, Episode_step: 11,  Reward_p: -0.001, Reward_e: -1.009
Episode: 30000,  Step: 472694, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 40000,  Step: 650573, Episode_step: 3,  Reward_p: 0.999, Reward_e: -1.001
Episode: 50000,  Step: 829334, Episode_step: 19,  Reward_p: -0.01800000000000001, Reward_e: -1.017
Episode: 60000,  Step: 1003025, Episode_step: 4,  Reward_p: 0.998, Reward_e: -1.002
Episode: 70000,  Step: 1162300, Episode_step: 24,  Reward_p: 0.979, Reward_e: -1.02
Episode: 80000,  Step: 1312521, Episode_step: 34,  Reward_p: 0.968, Reward_e: -1.032
Episode: 90000,  Step: 1460774, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.018
Episode: 100000,  Step: 1597430, Episode_step: 20,  Reward_p: 0.983, Reward_e: -1.018
Episode: 110000,  Step: 1735082, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 120000,  Step: 1868375, Episode_step: 9,  Reward_p: 0.993, Reward_e: -1.007
Episode: 130000,  Step: 2000696, Episode_step: 25,  Reward_p: 0.979, Reward_e: -1.023
Episode: 140000,  Step: 2131368, Episode_step: 29,  Reward_p: -1.027, Reward_e: -0.028000000000000018
Episode: 150000,  Step: 2262459, Episode_step: 23,  Reward_p: 0.98, Reward_e: -1.021
Episode: 160000,  Step: 2390154, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 170000,  Step: 2516810, Episode_step: 22,  Reward_p: -0.02100000000000001, Reward_e: -1.02
Episode: 180000,  Step: 2639898, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.007
Episode: 190000,  Step: 2762557, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 200000,  Step: 2883711, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 210000,  Step: 3004986, Episode_step: 4,  Reward_p: 0.998, Reward_e: -1.002
Episode: 220000,  Step: 3127598, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 230000,  Step: 3250828, Episode_step: 5,  Reward_p: 0.997, Reward_e: -1.003
Episode: 240000,  Step: 3373122, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 250000,  Step: 3496249, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 260000,  Step: 3617968, Episode_step: 9,  Reward_p: 0.993, Reward_e: -1.007
