cpu
Start!
Episode: 10000,  Step: 266596, Episode_step: 119,  Reward_p: -0.11800000000000009, Reward_e: -1.117
Episode: 20000,  Step: 568544, Episode_step: 11,  Reward_p: -0.010000000000000002, Reward_e: -1.009
Episode: 30000,  Step: 872854, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 40000,  Step: 1212521, Episode_step: 21,  Reward_p: -1.019, Reward_e: -0.02000000000000001
Episode: 50000,  Step: 1583886, Episode_step: 50,  Reward_p: 0.952, Reward_e: -1.047
Episode: 60000,  Step: 2038583, Episode_step: 35,  Reward_p: 0.968, Reward_e: -1.033
Episode: 70000,  Step: 2503207, Episode_step: 14,  Reward_p: 0.988, Reward_e: -1.012
Episode: 80000,  Step: 2961714, Episode_step: 34,  Reward_p: 0.968, Reward_e: -1.029
Episode: 90000,  Step: 3404298, Episode_step: 39,  Reward_p: 0.963, Reward_e: -1.037
Episode: 100000,  Step: 3846589, Episode_step: 47,  Reward_p: 0.955, Reward_e: -1.043
Episode: 110000,  Step: 4282606, Episode_step: 38,  Reward_p: 0.964, Reward_e: -1.036
Episode: 120000,  Step: 4699770, Episode_step: 68,  Reward_p: 0.9359999999999999, Reward_e: -1.066
Episode: 130000,  Step: 5115437, Episode_step: 20,  Reward_p: -0.01900000000000001, Reward_e: -1.016
Episode: 140000,  Step: 5523384, Episode_step: 93,  Reward_p: 0.9099999999999999, Reward_e: -1.089
Episode: 150000,  Step: 5936981, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.015
Episode: 160000,  Step: 6329445, Episode_step: 47,  Reward_p: 0.956, Reward_e: -1.045
Episode: 170000,  Step: 6722659, Episode_step: 19,  Reward_p: -0.01800000000000001, Reward_e: -1.017
Episode: 180000,  Step: 7097958, Episode_step: 53,  Reward_p: 0.949, Reward_e: -1.049
Episode: 190000,  Step: 7473895, Episode_step: 25,  Reward_p: 0.977, Reward_e: -1.023
Episode: 200000,  Step: 7845552, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.015
Episode: 210000,  Step: 8217601, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Episode: 220000,  Step: 8598289, Episode_step: 35,  Reward_p: 0.969, Reward_e: -1.033
Episode: 230000,  Step: 8968027, Episode_step: 82,  Reward_p: 0.9249999999999999, Reward_e: -1.079
Episode: 240000,  Step: 9336681, Episode_step: 80,  Reward_p: 0.9219999999999999, Reward_e: -1.075
Episode: 250000,  Step: 9705403, Episode_step: 40,  Reward_p: 0.962, Reward_e: -1.036
Episode: 260000,  Step: 10065619, Episode_step: 27,  Reward_p: 0.975, Reward_e: -1.025
Episode: 270000,  Step: 10425492, Episode_step: 16,  Reward_p: 0.987, Reward_e: -1.012
Episode: 280000,  Step: 10795275, Episode_step: 51,  Reward_p: 0.952, Reward_e: -1.049
Episode: 290000,  Step: 11139214, Episode_step: 3,  Reward_p: 0.999, Reward_e: -1.001
Episode: 300000,  Step: 11497118, Episode_step: 38,  Reward_p: 0.964, Reward_e: -1.035
Episode: 310000,  Step: 11853009, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.016
Episode: 320000,  Step: 12224657, Episode_step: 100,  Reward_p: 0.9019999999999999, Reward_e: -1.091
Episode: 330000,  Step: 12603048, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 12968993, Episode_step: 28,  Reward_p: 0.974, Reward_e: -1.025
Episode: 350000,  Step: 13331813, Episode_step: 6,  Reward_p: 0.996, Reward_e: -1.004
Episode: 360000,  Step: 13694135, Episode_step: 54,  Reward_p: 0.948, Reward_e: -1.051
Episode: 370000,  Step: 14063665, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.013
Episode: 380000,  Step: 14440851, Episode_step: 25,  Reward_p: -0.024000000000000014, Reward_e: -1.02
Episode: 390000,  Step: 14812702, Episode_step: 37,  Reward_p: 0.966, Reward_e: -1.035
Episode: 400000,  Step: 15169709, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.013
Episode: 410000,  Step: 15529084, Episode_step: 29,  Reward_p: 0.973, Reward_e: -1.026
Episode: 420000,  Step: 15894682, Episode_step: 18,  Reward_p: -0.017000000000000008, Reward_e: -1.016
Episode: 430000,  Step: 16258687, Episode_step: 48,  Reward_p: 0.955, Reward_e: -1.046
Episode: 440000,  Step: 16626517, Episode_step: 13,  Reward_p: 0.989, Reward_e: -1.011
Episode: 450000,  Step: 16982835, Episode_step: 22,  Reward_p: 0.98, Reward_e: -1.02
Episode: 460000,  Step: 17340570, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Episode: 470000,  Step: 17707677, Episode_step: 70,  Reward_p: 0.9319999999999999, Reward_e: -1.066
Episode: 480000,  Step: 18076320, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.018
Episode: 490000,  Step: 18436122, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.016
Episode: 500000,  Step: 18784180, Episode_step: 50,  Reward_p: 0.953, Reward_e: -1.048
Episode: 510000,  Step: 19133898, Episode_step: 108,  Reward_p: 0.8949999999999999, Reward_e: -1.105
Episode: 520000,  Step: 19491382, Episode_step: 55,  Reward_p: -0.05200000000000004, Reward_e: -1.053
Episode: 530000,  Step: 19843058, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
