cpu
Start!
Episode: 10000,  Step: 211962, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 20000,  Step: 348398, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 30000,  Step: 536853, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 40000,  Step: 697550, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 50000,  Step: 852859, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 60000,  Step: 1005527, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 70000,  Step: 1173900, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 1358682, Episode_step: 36,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 1540639, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 100000,  Step: 1740343, Episode_step: 11,  Reward_p: 0, Reward_e: -1
Episode: 110000,  Step: 1977788, Episode_step: 54,  Reward_p: 1, Reward_e: -1
Episode: 120000,  Step: 2199325, Episode_step: 11,  Reward_p: 0, Reward_e: -1
Episode: 130000,  Step: 2386973, Episode_step: 3,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 2555063, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 2723783, Episode_step: 23,  Reward_p: 0, Reward_e: -1
Episode: 160000,  Step: 2893131, Episode_step: 14,  Reward_p: 0, Reward_e: -1
Episode: 170000,  Step: 3072392, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 3278011, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 190000,  Step: 3465208, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 3714233, Episode_step: 92,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 4047373, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 4382617, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 4665377, Episode_step: 11,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 4954208, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 250000,  Step: 5267714, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 260000,  Step: 5503966, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 270000,  Step: 5704944, Episode_step: 35,  Reward_p: 1, Reward_e: -1
Episode: 280000,  Step: 5940767, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 290000,  Step: 6143074, Episode_step: 92,  Reward_p: 1, Reward_e: -1
Episode: 300000,  Step: 6349393, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 310000,  Step: 6563787, Episode_step: 47,  Reward_p: 1, Reward_e: -1
Episode: 320000,  Step: 6770585, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 330000,  Step: 6952974, Episode_step: 48,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 7148795, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 350000,  Step: 7334092, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 360000,  Step: 7525069, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 370000,  Step: 7719400, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 380000,  Step: 7911290, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 390000,  Step: 8103978, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 400000,  Step: 8276610, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 410000,  Step: 8450634, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 420000,  Step: 8657549, Episode_step: 43,  Reward_p: 1, Reward_e: -1
Episode: 430000,  Step: 8837700, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 440000,  Step: 9000033, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 450000,  Step: 9172296, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 460000,  Step: 9359421, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 470000,  Step: 9535288, Episode_step: 4,  Reward_p: 1, Reward_e: -1
Episode: 480000,  Step: 9729239, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 490000,  Step: 9932110, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 500000,  Step: 10113200, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 510000,  Step: 10318552, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 520000,  Step: 10504071, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 530000,  Step: 10698183, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 540000,  Step: 10888596, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 550000,  Step: 11064234, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 560000,  Step: 11252086, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 570000,  Step: 11433256, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 580000,  Step: 11604727, Episode_step: 24,  Reward_p: 1, Reward_e: -1
Episode: 590000,  Step: 11787408, Episode_step: 47,  Reward_p: 1, Reward_e: -1
Episode: 600000,  Step: 11984417, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 610000,  Step: 12171638, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 620000,  Step: 12348175, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 630000,  Step: 12525662, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 640000,  Step: 12711046, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 650000,  Step: 12889353, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 660000,  Step: 13064321, Episode_step: 47,  Reward_p: 1, Reward_e: -1
Episode: 670000,  Step: 13240059, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 680000,  Step: 13415091, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 690000,  Step: 13584579, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 700000,  Step: 13751266, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 710000,  Step: 13919321, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 14108875, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 14304371, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 14482456, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 14678133, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 14867224, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 15070278, Episode_step: 37,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 15264739, Episode_step: 14,  Reward_p: 0, Reward_e: -1
Episode: 790000,  Step: 15475748, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 15689669, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 15902786, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 16120090, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 16355618, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 840000,  Step: 16605977, Episode_step: 9,  Reward_p: 1, Reward_e: -1
