cpu
Start!
Episode: 10000,  Step: 378657, Episode_step: 79,  Reward_p: -1, Reward_e: -1
Episode: 20000,  Step: 784779, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 30000,  Step: 1451755, Episode_step: 66,  Reward_p: 0, Reward_e: -1
Episode: 40000,  Step: 2938987, Episode_step: 303,  Reward_p: 0, Reward_e: 0
Episode: 50000,  Step: 4700493, Episode_step: 82,  Reward_p: 1, Reward_e: -1
Episode: 60000,  Step: 6203917, Episode_step: 82,  Reward_p: 1, Reward_e: -1
Episode: 70000,  Step: 7493658, Episode_step: 179,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 8661607, Episode_step: 130,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 9714490, Episode_step: 54,  Reward_p: 0, Reward_e: -1
Episode: 100000,  Step: 10710681, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 110000,  Step: 11609265, Episode_step: 69,  Reward_p: 1, Reward_e: -1
Episode: 120000,  Step: 12461223, Episode_step: 135,  Reward_p: 1, Reward_e: -1
Episode: 130000,  Step: 13307089, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 14119085, Episode_step: 189,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 14946561, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 160000,  Step: 15732592, Episode_step: 121,  Reward_p: 1, Reward_e: -1
Episode: 170000,  Step: 16512550, Episode_step: 53,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 17270333, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 190000,  Step: 18023456, Episode_step: 55,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 18727593, Episode_step: 42,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 19452811, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 20172254, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 20879601, Episode_step: 88,  Reward_p: 0, Reward_e: -1
Episode: 240000,  Step: 21572233, Episode_step: 136,  Reward_p: 1, Reward_e: -1
Episode: 250000,  Step: 22304129, Episode_step: 107,  Reward_p: 1, Reward_e: -1
Episode: 260000,  Step: 22992762, Episode_step: 101,  Reward_p: 1, Reward_e: -1
Episode: 270000,  Step: 23684733, Episode_step: 111,  Reward_p: 1, Reward_e: -1
Episode: 280000,  Step: 24380580, Episode_step: 20,  Reward_p: 1, Reward_e: -1
Episode: 290000,  Step: 25045305, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 300000,  Step: 25715237, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 310000,  Step: 26364205, Episode_step: 67,  Reward_p: 1, Reward_e: -1
Episode: 320000,  Step: 27003002, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 330000,  Step: 27636201, Episode_step: 91,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 28282771, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 350000,  Step: 28924905, Episode_step: 97,  Reward_p: 1, Reward_e: -1
Episode: 360000,  Step: 29575076, Episode_step: 37,  Reward_p: 1, Reward_e: -1
Episode: 370000,  Step: 30216572, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 380000,  Step: 30835205, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 390000,  Step: 31431423, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 400000,  Step: 32057989, Episode_step: 85,  Reward_p: 1, Reward_e: -1
Episode: 410000,  Step: 32649789, Episode_step: 227,  Reward_p: 1, Reward_e: -1
Episode: 420000,  Step: 33230364, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 430000,  Step: 33831115, Episode_step: 227,  Reward_p: 1, Reward_e: -1
Episode: 440000,  Step: 34438297, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 450000,  Step: 35016172, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 460000,  Step: 35572175, Episode_step: 52,  Reward_p: 1, Reward_e: -1
Episode: 470000,  Step: 36137626, Episode_step: 43,  Reward_p: 1, Reward_e: -1
Episode: 480000,  Step: 36692567, Episode_step: 52,  Reward_p: 1, Reward_e: -1
Episode: 490000,  Step: 37259105, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 500000,  Step: 37842324, Episode_step: 248,  Reward_p: 1, Reward_e: -1
Episode: 510000,  Step: 38410635, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 520000,  Step: 39028012, Episode_step: 67,  Reward_p: 1, Reward_e: -1
Episode: 530000,  Step: 39619667, Episode_step: 189,  Reward_p: 1, Reward_e: -1
Episode: 540000,  Step: 40213771, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 550000,  Step: 40790101, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 560000,  Step: 41353583, Episode_step: 74,  Reward_p: 1, Reward_e: -1
Episode: 570000,  Step: 41931729, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 580000,  Step: 42535053, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 590000,  Step: 43113058, Episode_step: 57,  Reward_p: 1, Reward_e: -1
Episode: 600000,  Step: 43678527, Episode_step: 48,  Reward_p: 1, Reward_e: -1
Episode: 610000,  Step: 44234880, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 620000,  Step: 44801092, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 630000,  Step: 45382502, Episode_step: 57,  Reward_p: 1, Reward_e: -1
Episode: 640000,  Step: 45966603, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 650000,  Step: 46527334, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 660000,  Step: 47141643, Episode_step: 48,  Reward_p: 1, Reward_e: -1
Episode: 670000,  Step: 47718871, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 680000,  Step: 48303314, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 690000,  Step: 48896003, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 700000,  Step: 49491742, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 710000,  Step: 50153872, Episode_step: 56,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 50801449, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 51456194, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 52110229, Episode_step: 142,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 52746236, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 53380027, Episode_step: 95,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 53981669, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 54606107, Episode_step: 82,  Reward_p: 1, Reward_e: -1
Episode: 790000,  Step: 55222780, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 55854730, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 56462637, Episode_step: 185,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 57105620, Episode_step: 122,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 57749499, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 840000,  Step: 58333457, Episode_step: 65,  Reward_p: 1, Reward_e: -1
Episode: 850000,  Step: 58984836, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 860000,  Step: 59617654, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 870000,  Step: 60205531, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 880000,  Step: 60834224, Episode_step: 75,  Reward_p: 1, Reward_e: -1
Episode: 890000,  Step: 61513085, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 900000,  Step: 62141571, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 910000,  Step: 62754915, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 920000,  Step: 63354868, Episode_step: 24,  Reward_p: 1, Reward_e: -1
Episode: 930000,  Step: 63966999, Episode_step: 3,  Reward_p: 1, Reward_e: -1
Episode: 940000,  Step: 64602828, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 950000,  Step: 65209366, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 960000,  Step: 65821923, Episode_step: 84,  Reward_p: 1, Reward_e: -1
Episode: 970000,  Step: 66424625, Episode_step: 85,  Reward_p: 1, Reward_e: -1
Episode: 980000,  Step: 67083265, Episode_step: 54,  Reward_p: 1, Reward_e: -1
Episode: 990000,  Step: 67742086, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 1000000,  Step: 68416433, Episode_step: 54,  Reward_p: 1, Reward_e: -1
Finish! 146.14 [h]
