option = indiv
required = 2.4
cpu
Start!
Episode: 10000,  Step: 385834, Episode_step: 155,  Reward_p: -1, Reward_e: 0
Episode: 20000,  Step: 1013701, Episode_step: 17,  Reward_p: 0, Reward_e: -1
Episode: 30000,  Step: 1907497, Episode_step: 159,  Reward_p: 1, Reward_e: -1
Episode: 40000,  Step: 3260560, Episode_step: 55,  Reward_p: 0, Reward_e: -1
Episode: 50000,  Step: 4562878, Episode_step: 135,  Reward_p: 1, Reward_e: -1
Episode: 60000,  Step: 5690356, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 70000,  Step: 6760464, Episode_step: 277,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 7766051, Episode_step: 72,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 8717216, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 100000,  Step: 9598804, Episode_step: 205,  Reward_p: 1, Reward_e: -1
Episode: 110000,  Step: 10387274, Episode_step: 62,  Reward_p: 1, Reward_e: -1
Episode: 120000,  Step: 11163487, Episode_step: 46,  Reward_p: 1, Reward_e: -1
Episode: 130000,  Step: 11876386, Episode_step: 165,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 12553385, Episode_step: 47,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 13188565, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 160000,  Step: 13833052, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 170000,  Step: 14441524, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 15024265, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 190000,  Step: 15604499, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 16199449, Episode_step: 112,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 16758959, Episode_step: 11,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 17321355, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 17860046, Episode_step: 63,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 18381850, Episode_step: 2,  Reward_p: 1, Reward_e: -1
