cpu
Start!
Episode: 10000,  Step: 155502, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_e: -1.02
Episode: 20000,  Step: 242313, Episode_step: 9,  Reward_p1: -0.008, Reward_p2: 0.993, Reward_e: -1.007
Episode: 30000,  Step: 346680, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 40000,  Step: 450960, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.012
Episode: 50000,  Step: 555260, Episode_step: 4,  Reward_p1: -0.003, Reward_p2: 0.998, Reward_e: -1.002
Episode: 60000,  Step: 664607, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: 0.998, Reward_e: -1.002
Episode: 70000,  Step: 771222, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: 0.989, Reward_e: -1.011
Episode: 80000,  Step: 878835, Episode_step: 10,  Reward_p1: 0.992, Reward_p2: -0.001, Reward_e: -1.008
Episode: 90000,  Step: 989417, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: -0.008, Reward_e: -1.007
Episode: 100000,  Step: 1102974, Episode_step: 6,  Reward_p1: -0.005, Reward_p2: 0.996, Reward_e: -1.004
Episode: 110000,  Step: 1218657, Episode_step: 20,  Reward_p1: -0.01800000000000001, Reward_p2: -0.009000000000000001, Reward_e: -1.017
Episode: 120000,  Step: 1335984, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: -0.007, Reward_e: -1.01
Episode: 130000,  Step: 1449323, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 140000,  Step: 1559399, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: -0.015000000000000006, Reward_e: -1.014
Episode: 150000,  Step: 1665451, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 160000,  Step: 1769820, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 170000,  Step: 1871998, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 180000,  Step: 1972020, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -0.015000000000000006, Reward_e: -1.014
Episode: 190000,  Step: 2071614, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.009000000000000001, Reward_e: -1.011
Episode: 200000,  Step: 2169680, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 210000,  Step: 2265918, Episode_step: 10,  Reward_p1: 0.992, Reward_p2: -0.007, Reward_e: -1.008
Episode: 220000,  Step: 2359700, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.005
Episode: 230000,  Step: 2451210, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.013000000000000005, Reward_e: -1.012
Episode: 240000,  Step: 2542973, Episode_step: 9,  Reward_p1: -0.008, Reward_p2: 0.993, Reward_e: -1.007
Episode: 250000,  Step: 2634511, Episode_step: 10,  Reward_p1: -0.009000000000000001, Reward_p2: 0.992, Reward_e: -1.008
Episode: 260000,  Step: 2724028, Episode_step: 15,  Reward_p1: -1.013, Reward_p2: 0.987, Reward_e: -1.013
Episode: 270000,  Step: 2813908, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: -0.003, Reward_e: -1.002
Episode: 280000,  Step: 2903789, Episode_step: 22,  Reward_p1: 0.981, Reward_p2: -0.011000000000000003, Reward_e: -1.02
Episode: 290000,  Step: 2994218, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: 0.989, Reward_e: -1.011
Episode: 300000,  Step: 3083397, Episode_step: 16,  Reward_p1: 0.987, Reward_p2: -0.015000000000000006, Reward_e: -1.01
Episode: 310000,  Step: 3173152, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: -0.008, Reward_e: -1.007
Episode: 320000,  Step: 3261823, Episode_step: 11,  Reward_p1: -0.009000000000000001, Reward_p2: 0.991, Reward_e: -1.009
Episode: 330000,  Step: 3350852, Episode_step: 19,  Reward_p1: -0.01800000000000001, Reward_p2: 0.983, Reward_e: -1.017
Episode: 340000,  Step: 3440280, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.009
Episode: 350000,  Step: 3528253, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: -0.010000000000000002, Reward_e: -1.009
Episode: 360000,  Step: 3616761, Episode_step: 14,  Reward_p1: -0.010000000000000002, Reward_p2: 0.988, Reward_e: -1.012
Episode: 370000,  Step: 3706608, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.011
Episode: 380000,  Step: 3795273, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 390000,  Step: 3883840, Episode_step: 15,  Reward_p1: 0.988, Reward_p2: 0.987, Reward_e: -1.011
Episode: 400000,  Step: 3972485, Episode_step: 8,  Reward_p1: -0.006, Reward_p2: 0.994, Reward_e: -1.006
Episode: 410000,  Step: 4060694, Episode_step: 7,  Reward_p1: -0.006, Reward_p2: 0.995, Reward_e: -1.005
Episode: 420000,  Step: 4149772, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 430000,  Step: 4239697, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 440000,  Step: 4329278, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: -0.003, Reward_e: -1.002
Episode: 450000,  Step: 4418839, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 4507989, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.005
Episode: 470000,  Step: 4597151, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.013000000000000005, Reward_e: -1.012
