cpu
Start!
Episode: 10000,  Step: 147228, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: 0.985, Reward_e: -1.016
Episode: 20000,  Step: 285382, Episode_step: 19,  Reward_p1: -0.009000000000000001, Reward_p2: -0.017000000000000008, Reward_e: -1.017
Episode: 30000,  Step: 433313, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: -0.008, Reward_e: -1.013
Episode: 40000,  Step: 586244, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: -0.003, Reward_e: -1.003
Episode: 50000,  Step: 732095, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: 0.99, Reward_e: -1.01
Episode: 60000,  Step: 874995, Episode_step: 20,  Reward_p1: -0.01900000000000001, Reward_p2: -0.010000000000000002, Reward_e: -1.017
Episode: 70000,  Step: 1021710, Episode_step: 7,  Reward_p1: -0.006, Reward_p2: 0.995, Reward_e: -1.005
Episode: 80000,  Step: 1174169, Episode_step: 3,  Reward_p1: 0.999, Reward_p2: -0.002, Reward_e: -1.001
Episode: 90000,  Step: 1324065, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 100000,  Step: 1468425, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: -0.02000000000000001, Reward_e: -1.02
Episode: 110000,  Step: 1607776, Episode_step: 33,  Reward_p1: 0.969, Reward_p2: -0.03200000000000002, Reward_e: -1.03
Episode: 120000,  Step: 1742821, Episode_step: 20,  Reward_p1: 0.986, Reward_p2: -1.018, Reward_e: -1.018
Episode: 130000,  Step: 1876308, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 140000,  Step: 2008393, Episode_step: 21,  Reward_p1: -0.02000000000000001, Reward_p2: 0.981, Reward_e: -1.019
Episode: 150000,  Step: 2138437, Episode_step: 13,  Reward_p1: -0.009000000000000001, Reward_p2: 0.989, Reward_e: -1.011
