cpu
Start!
Episode: 10000,  Step: 156189, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.013000000000000005, Reward_e: -1.013
Episode: 20000,  Step: 325412, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: -0.004, Reward_e: -1.003
Episode: 30000,  Step: 499740, Episode_step: 11,  Reward_p1: -0.009000000000000001, Reward_p2: -0.002, Reward_e: -1.009
Episode: 40000,  Step: 670591, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 50000,  Step: 848021, Episode_step: 12,  Reward_p1: -0.010000000000000002, Reward_p2: -0.009000000000000001, Reward_e: -1.009
Episode: 60000,  Step: 1046601, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 70000,  Step: 1255255, Episode_step: 50,  Reward_p1: -0.046000000000000034, Reward_p2: -1.048, Reward_e: -0.04900000000000004
Episode: 80000,  Step: 1465436, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.016000000000000007, Reward_e: -1.014
Episode: 90000,  Step: 1666780, Episode_step: 29,  Reward_p1: 0.974, Reward_p2: -0.028000000000000018, Reward_e: -1.026
Episode: 100000,  Step: 1863323, Episode_step: 47,  Reward_p1: 0.955, Reward_p2: -0.046000000000000034, Reward_e: -1.043
Episode: 110000,  Step: 2058577, Episode_step: 27,  Reward_p1: -0.026000000000000016, Reward_p2: -0.026000000000000016, Reward_e: -1.025
Episode: 120000,  Step: 2253475, Episode_step: 18,  Reward_p1: 0.984, Reward_p2: -0.017000000000000008, Reward_e: -1.014
Episode: 130000,  Step: 2452332, Episode_step: 26,  Reward_p1: 0.976, Reward_p2: -0.024000000000000014, Reward_e: -1.024
Episode: 140000,  Step: 2653989, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -0.015000000000000006, Reward_e: -1.013
Episode: 150000,  Step: 2854970, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 160000,  Step: 3061705, Episode_step: 3,  Reward_p1: 0.999, Reward_p2: -0.002, Reward_e: -1.001
Episode: 170000,  Step: 3274484, Episode_step: 19,  Reward_p1: -0.012000000000000004, Reward_p2: 0.983, Reward_e: -1.014
Episode: 180000,  Step: 3485653, Episode_step: 25,  Reward_p1: 0.983, Reward_p2: -0.024000000000000014, Reward_e: -1.023
Episode: 190000,  Step: 3699263, Episode_step: 18,  Reward_p1: -1.016, Reward_p2: -0.017000000000000008, Reward_e: -1.016
Episode: 200000,  Step: 3907643, Episode_step: 18,  Reward_p1: -0.016000000000000007, Reward_p2: 0.984, Reward_e: -1.016
Episode: 210000,  Step: 4119277, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.982, Reward_e: -1.016
Episode: 220000,  Step: 4328549, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: 0.988, Reward_e: -1.011
Episode: 230000,  Step: 4540524, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 240000,  Step: 4749596, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 250000,  Step: 4960261, Episode_step: 67,  Reward_p1: -0.06500000000000004, Reward_p2: 0.9349999999999999, Reward_e: -1.065
Episode: 260000,  Step: 5167972, Episode_step: 49,  Reward_p1: -0.046000000000000034, Reward_p2: 0.954, Reward_e: -1.046
Episode: 270000,  Step: 5375770, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -0.015000000000000006, Reward_e: -1.012
Episode: 280000,  Step: 5588881, Episode_step: 17,  Reward_p1: 0.986, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 290000,  Step: 5799232, Episode_step: 31,  Reward_p1: -0.03000000000000002, Reward_p2: 0.971, Reward_e: -1.029
Episode: 300000,  Step: 6009296, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.004
Episode: 310000,  Step: 6217295, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 320000,  Step: 6427810, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 330000,  Step: 6636936, Episode_step: 24,  Reward_p1: -0.023000000000000013, Reward_p2: -0.01800000000000001, Reward_e: -1.022
Episode: 340000,  Step: 6844789, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: 0.986, Reward_e: -1.013
Episode: 350000,  Step: 7054769, Episode_step: 25,  Reward_p1: -0.023000000000000013, Reward_p2: 0.977, Reward_e: -1.022
Episode: 360000,  Step: 7273817, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.012
Episode: 370000,  Step: 7486666, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
Episode: 380000,  Step: 7706153, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 390000,  Step: 7927820, Episode_step: 24,  Reward_p1: 0.979, Reward_p2: -0.022000000000000013, Reward_e: -1.018
Episode: 400000,  Step: 8154091, Episode_step: 49,  Reward_p1: 0.953, Reward_p2: -0.048000000000000036, Reward_e: -1.047
Episode: 410000,  Step: 8369495, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: -0.015000000000000006, Reward_e: -1.013
Episode: 420000,  Step: 8587216, Episode_step: 23,  Reward_p1: -0.022000000000000013, Reward_p2: -0.022000000000000013, Reward_e: -1.02
Episode: 430000,  Step: 8802722, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 440000,  Step: 9015048, Episode_step: 31,  Reward_p1: 0.971, Reward_p2: -0.03000000000000002, Reward_e: -1.029
Episode: 450000,  Step: 9229865, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 9444774, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.013000000000000005, Reward_e: -1.013
Episode: 470000,  Step: 9657825, Episode_step: 10,  Reward_p1: 0.992, Reward_p2: -0.009000000000000001, Reward_e: -1.007
Episode: 480000,  Step: 9870911, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: -0.01900000000000001, Reward_e: -1.016
Episode: 490000,  Step: 10081287, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: 0.986, Reward_e: -1.014
Episode: 500000,  Step: 10291786, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: 0.989, Reward_e: -1.011
Episode: 510000,  Step: 10505352, Episode_step: 72,  Reward_p1: 0.9299999999999999, Reward_p2: -0.07000000000000005, Reward_e: -1.07
Episode: 520000,  Step: 10715513, Episode_step: 27,  Reward_p1: -0.024000000000000014, Reward_p2: -0.026000000000000016, Reward_e: -1.025
Episode: 530000,  Step: 10925485, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.011
Episode: 540000,  Step: 11134284, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 550000,  Step: 11345693, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 11552015, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 570000,  Step: 11760486, Episode_step: 3,  Reward_p1: -0.002, Reward_p2: 0.999, Reward_e: -1.001
Episode: 580000,  Step: 11964594, Episode_step: 39,  Reward_p1: -0.03800000000000003, Reward_p2: 0.963, Reward_e: -1.037
Episode: 590000,  Step: 12173380, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 600000,  Step: 12383121, Episode_step: 52,  Reward_p1: -0.05100000000000004, Reward_p2: 0.95, Reward_e: -1.05
Episode: 610000,  Step: 12590202, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: -0.02100000000000001, Reward_e: -1.019
Episode: 620000,  Step: 12803150, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: 0.99, Reward_e: -1.01
Episode: 630000,  Step: 13012086, Episode_step: 23,  Reward_p1: -0.022000000000000013, Reward_p2: -0.022000000000000013, Reward_e: -1.019
Episode: 640000,  Step: 13221709, Episode_step: 42,  Reward_p1: 0.96, Reward_p2: -0.04000000000000003, Reward_e: -1.038
Episode: 650000,  Step: 13428259, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: -0.01900000000000001, Reward_e: -1.015
Episode: 660000,  Step: 13635269, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: -0.017000000000000008, Reward_e: -1.016
Episode: 670000,  Step: 13846345, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 680000,  Step: 14054246, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
