cpu
Start!
Episode: 10000,  Step: 342681, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: -0.008, Reward_e: -1.013
Episode: 20000,  Step: 1001581, Episode_step: 35,  Reward_p1: 0.967, Reward_p2: 0.967, Reward_e: -1.033
Episode: 30000,  Step: 1926810, Episode_step: 48,  Reward_p1: -0.047000000000000035, Reward_p2: -0.047000000000000035, Reward_e: -1.036
Episode: 40000,  Step: 3194951, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 50000,  Step: 4639271, Episode_step: 188,  Reward_p1: 0.8289999999999998, Reward_p2: 0.8239999999999998, Reward_e: -1.159
Episode: 60000,  Step: 6333733, Episode_step: 303,  Reward_p1: -0.3000000000000002, Reward_p2: -0.2900000000000002, Reward_e: -0.2800000000000002
Episode: 70000,  Step: 8002499, Episode_step: 303,  Reward_p1: -0.3000000000000002, Reward_p2: -0.3000000000000002, Reward_e: -0.2890000000000002
Episode: 80000,  Step: 9565497, Episode_step: 143,  Reward_p1: 0.9269999999999999, Reward_p2: 0.8699999999999999, Reward_e: -1.086
Episode: 90000,  Step: 11083130, Episode_step: 95,  Reward_p1: -0.09000000000000007, Reward_p2: -1.092, Reward_e: -0.08100000000000006
Episode: 100000,  Step: 12601075, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 14083940, Episode_step: 287,  Reward_p1: -0.2840000000000002, Reward_p2: -0.2810000000000002, Reward_e: -1.2730000000000001
Episode: 120000,  Step: 15515887, Episode_step: 192,  Reward_p1: 0.8499999999999999, Reward_p2: 0.8119999999999998, Reward_e: -1.161
Episode: 130000,  Step: 16885706, Episode_step: 168,  Reward_p1: 0.8339999999999999, Reward_p2: 0.8399999999999999, Reward_e: -1.1520000000000001
Episode: 140000,  Step: 18258435, Episode_step: 109,  Reward_p1: 0.8959999999999999, Reward_p2: 0.8949999999999999, Reward_e: -1.088
Episode: 150000,  Step: 19526450, Episode_step: 67,  Reward_p1: 0.9349999999999999, Reward_p2: 0.9369999999999999, Reward_e: -1.053
Episode: 160000,  Step: 20739473, Episode_step: 275,  Reward_p1: -0.21900000000000017, Reward_p2: -0.2700000000000002, Reward_e: -1.2120000000000002
Episode: 170000,  Step: 21924426, Episode_step: 30,  Reward_p1: -0.014000000000000005, Reward_p2: -0.02900000000000002, Reward_e: -1.023
Episode: 180000,  Step: 23047934, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.99, Reward_e: -1.011
Episode: 190000,  Step: 24140032, Episode_step: 152,  Reward_p1: 0.8519999999999999, Reward_p2: 0.8539999999999999, Reward_e: -1.1460000000000001
Episode: 200000,  Step: 25216930, Episode_step: 217,  Reward_p1: 0.7889999999999998, Reward_p2: 0.7849999999999998, Reward_e: -1.1400000000000001
Episode: 210000,  Step: 26290880, Episode_step: 153,  Reward_p1: 0.8509999999999999, Reward_p2: 0.8509999999999999, Reward_e: -1.129
Episode: 220000,  Step: 27329111, Episode_step: 100,  Reward_p1: 0.9029999999999999, Reward_p2: 0.9069999999999999, Reward_e: -1.076
