cpu
Start!
Episode: 10000,  Step: 224454, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 20000,  Step: 496259, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 811226, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 40000,  Step: 1220829, Episode_step: 89,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 50000,  Step: 1662469, Episode_step: 25,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 2162028, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 70000,  Step: 2691937, Episode_step: 102,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 80000,  Step: 3402357, Episode_step: 123,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 4369070, Episode_step: 254,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 5499621, Episode_step: 35,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 6652164, Episode_step: 292,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 7864384, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 130000,  Step: 9284292, Episode_step: 59,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 10694146, Episode_step: 141,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 11908495, Episode_step: 81,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 13052476, Episode_step: 39,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 14319162, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_e: 0
Episode: 180000,  Step: 15590307, Episode_step: 88,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 16626383, Episode_step: 175,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 200000,  Step: 17689583, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 18884897, Episode_step: 209,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 20075000, Episode_step: 76,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 230000,  Step: 21172702, Episode_step: 46,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 240000,  Step: 22256553, Episode_step: 206,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 23294605, Episode_step: 141,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 24307477, Episode_step: 161,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 25200836, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 280000,  Step: 26050319, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 290000,  Step: 26883853, Episode_step: 47,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 27722773, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 310000,  Step: 28578801, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 29409242, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 30223539, Episode_step: 121,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 340000,  Step: 31051049, Episode_step: 49,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 31819666, Episode_step: 77,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 360000,  Step: 32571226, Episode_step: 225,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 370000,  Step: 33264941, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 380000,  Step: 34002870, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 390000,  Step: 34689279, Episode_step: 45,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 400000,  Step: 35410593, Episode_step: 72,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 410000,  Step: 36097433, Episode_step: 135,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 36796330, Episode_step: 258,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 37485701, Episode_step: 85,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 38160769, Episode_step: 104,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 450000,  Step: 38875109, Episode_step: 68,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 39541271, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 40192395, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 480000,  Step: 40840786, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 41539856, Episode_step: 86,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 500000,  Step: 42174714, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 42805216, Episode_step: 36,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 520000,  Step: 43395142, Episode_step: 170,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 530000,  Step: 44012727, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 540000,  Step: 44631647, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 550000,  Step: 45247827, Episode_step: 65,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 45850171, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 570000,  Step: 46470077, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 580000,  Step: 47096673, Episode_step: 44,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 47698116, Episode_step: 55,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 600000,  Step: 48305903, Episode_step: 94,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 610000,  Step: 48949610, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 49578561, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 630000,  Step: 50230591, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 640000,  Step: 50875151, Episode_step: 66,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 650000,  Step: 51516295, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 52154521, Episode_step: 3,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 670000,  Step: 52759604, Episode_step: 69,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 680000,  Step: 53366751, Episode_step: 53,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 53943926, Episode_step: 128,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 700000,  Step: 54499765, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 55073152, Episode_step: 116,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 720000,  Step: 55630378, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 730000,  Step: 56201925, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 740000,  Step: 56797162, Episode_step: 64,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 750000,  Step: 57376175, Episode_step: 105,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 760000,  Step: 57947903, Episode_step: 60,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 770000,  Step: 58507324, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 780000,  Step: 59102971, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 59703801, Episode_step: 29,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 60267184, Episode_step: 67,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 810000,  Step: 60855802, Episode_step: 47,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 820000,  Step: 61452646, Episode_step: 197,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 830000,  Step: 62016000, Episode_step: 81,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 840000,  Step: 62617257, Episode_step: 137,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 850000,  Step: 63189437, Episode_step: 77,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 63778548, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 870000,  Step: 64383225, Episode_step: 77,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 880000,  Step: 64927018, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 890000,  Step: 65511728, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 900000,  Step: 66069463, Episode_step: 29,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 910000,  Step: 66653290, Episode_step: 28,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 920000,  Step: 67268526, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 930000,  Step: 67860972, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 940000,  Step: 68429945, Episode_step: 105,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 950000,  Step: 69015728, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 960000,  Step: 69605999, Episode_step: 43,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 970000,  Step: 70193025, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 980000,  Step: 70797667, Episode_step: 42,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 990000,  Step: 71389834, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 1000000,  Step: 72013794, Episode_step: 38,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Finish! 207.18 [h]
