option = indiv
required = 2.4
cpu
Start!
Episode: 10000,  Step: 168394, Episode_step: 19,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 411637, Episode_step: 36,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 706885, Episode_step: 14,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 965519, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 1209296, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 1556438, Episode_step: 59,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 1958862, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 80000,  Step: 2553324, Episode_step: 126,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 90000,  Step: 3224218, Episode_step: 6,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 3910881, Episode_step: 97,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 110000,  Step: 4612842, Episode_step: 174,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 5281592, Episode_step: 21,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 130000,  Step: 5958778, Episode_step: 151,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 140000,  Step: 6627974, Episode_step: 180,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 7251064, Episode_step: 27,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 160000,  Step: 7895349, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 8572970, Episode_step: 77,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 9272384, Episode_step: 31,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
