option = share
required = 2.4
cpu
Start!
Episode: 10000,  Step: 257237, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 589806, Episode_step: 57,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 1026944, Episode_step: 75,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 1529131, Episode_step: 93,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 2102858, Episode_step: 37,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 2961896, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 70000,  Step: 3876082, Episode_step: 16,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 80000,  Step: 4835894, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 5756060, Episode_step: 124,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 6653698, Episode_step: 24,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 110000,  Step: 7521180, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 8413444, Episode_step: 25,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 130000,  Step: 9307170, Episode_step: 71,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 10184833, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 11079786, Episode_step: 151,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 160000,  Step: 11951439, Episode_step: 110,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 170000,  Step: 12814490, Episode_step: 61,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 13642383, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 14487470, Episode_step: 216,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 200000,  Step: 15291250, Episode_step: 47,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 16066156, Episode_step: 54,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 16820958, Episode_step: 41,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 230000,  Step: 17573471, Episode_step: 239,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 240000,  Step: 18311261, Episode_step: 65,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 250000,  Step: 19029850, Episode_step: 57,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 19754269, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 20457096, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 280000,  Step: 21130099, Episode_step: 117,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 290000,  Step: 21837068, Episode_step: 187,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 22500444, Episode_step: 58,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 310000,  Step: 23134577, Episode_step: 95,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 23738329, Episode_step: 71,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 24355595, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 340000,  Step: 24980762, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 25620423, Episode_step: 111,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 360000,  Step: 26234522, Episode_step: 114,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 370000,  Step: 26849968, Episode_step: 59,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 380000,  Step: 27463156, Episode_step: 59,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
