cpu
Start!
Episode: 10000,  Step: 87191, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 20000,  Step: 162128, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 30000,  Step: 235844, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 40000,  Step: 309985, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 50000,  Step: 382129, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 60000,  Step: 454327, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 70000,  Step: 526913, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -1.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 80000,  Step: 599843, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 90000,  Step: 673251, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 100000,  Step: 748251, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 110000,  Step: 823422, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 120000,  Step: 899231, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 130000,  Step: 973737, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 1.0, Reward_e: -1.0
Episode: 140000,  Step: 1048536, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 150000,  Step: 1123616, Episode_step: 8,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 160000,  Step: 1199160, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 170000,  Step: 1274347, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 180000,  Step: 1350458, Episode_step: 7,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.0
Episode: 190000,  Step: 1427556, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 200000,  Step: 1504399, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: -0.01, Reward_p3: 1.0, Reward_e: -1.0
Episode: 210000,  Step: 1581406, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 220000,  Step: 1658314, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 230000,  Step: 1732616, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 240000,  Step: 1807754, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 250000,  Step: 1882164, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 260000,  Step: 1956069, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 270000,  Step: 2030813, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 280000,  Step: 2103827, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 290000,  Step: 2176896, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 300000,  Step: 2250081, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 310000,  Step: 2322832, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 320000,  Step: 2395843, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 330000,  Step: 2468608, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
