cpu
Start!
Episode: 10000,  Step: 97840, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.0
Episode: 20000,  Step: 188012, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 30000,  Step: 276993, Episode_step: 7,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.0
Episode: 40000,  Step: 363218, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 50000,  Step: 450587, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 60000,  Step: 537496, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 70000,  Step: 625904, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 80000,  Step: 716198, Episode_step: 8,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 90000,  Step: 808021, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 100000,  Step: 901986, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 110000,  Step: 995254, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 120000,  Step: 1091044, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 130000,  Step: 1187231, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 140000,  Step: 1285005, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 150000,  Step: 1385318, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 160000,  Step: 1486620, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 170000,  Step: 1586505, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 180000,  Step: 1686544, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 190000,  Step: 1786180, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 200000,  Step: 1883779, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 210000,  Step: 1980958, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 220000,  Step: 2077640, Episode_step: 16,  Reward_p1: -0.01, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 230000,  Step: 2173168, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 240000,  Step: 2267244, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 250000,  Step: 2362995, Episode_step: 6,  Reward_p1: -0.0, Reward_p2: -0.01, Reward_p3: 1.0, Reward_e: -1.0
Episode: 260000,  Step: 2457271, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 270000,  Step: 2552481, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 280000,  Step: 2648186, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 290000,  Step: 2743409, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.02
Episode: 300000,  Step: 2838708, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 310000,  Step: 2932405, Episode_step: 21,  Reward_p1: -0.02, Reward_p2: -0.0, Reward_p3: 0.99, Reward_e: -1.02
Episode: 320000,  Step: 3027715, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: 1, Reward_p3: -0.0, Reward_e: -1
Episode: 330000,  Step: 3120915, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 340000,  Step: 3215287, Episode_step: 20,  Reward_p1: -0.02, Reward_p2: -0.0, Reward_p3: -0.02, Reward_e: -1.02
Episode: 350000,  Step: 3310278, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 360000,  Step: 3405761, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: 0.99, Reward_p3: -0.02, Reward_e: -1.01
Episode: 370000,  Step: 3498827, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 380000,  Step: 3591932, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 1.0, Reward_e: -1.0
