cpu
Start!
Episode: 10000,  Step: 93924, Episode_step: 29,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.03
Episode: 20000,  Step: 202336, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 30000,  Step: 298626, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 40000,  Step: 391588, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 50000,  Step: 486591, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.0, Reward_e: -1.01
Episode: 60000,  Step: 575475, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 70000,  Step: 666448, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 80000,  Step: 756026, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 90000,  Step: 846701, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 100000,  Step: 938693, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.0
Episode: 110000,  Step: 1031358, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 120000,  Step: 1122273, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 130000,  Step: 1214358, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 140000,  Step: 1307454, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 150000,  Step: 1398297, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
