cpu
Start!
Episode: 10000,  Step: 126825, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 1, Reward_p3: 1.0, Reward_e: -1.0
Episode: 20000,  Step: 258189, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 30000,  Step: 369568, Episode_step: 24,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 40000,  Step: 498158, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 50000,  Step: 614180, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 60000,  Step: 723683, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 826806, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 80000,  Step: 931764, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 90000,  Step: 1037935, Episode_step: 19,  Reward_p1: -1.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 100000,  Step: 1141546, Episode_step: 32,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.03
Episode: 110000,  Step: 1249664, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 120000,  Step: 1356524, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 130000,  Step: 1462395, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.0
Episode: 140000,  Step: 1573995, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 150000,  Step: 1686754, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 160000,  Step: 1800689, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 170000,  Step: 1918176, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 180000,  Step: 2040825, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 190000,  Step: 2163336, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 200000,  Step: 2285518, Episode_step: 18,  Reward_p1: -0.01, Reward_p2: -1.02, Reward_p3: -1.02, Reward_e: -0.02
Episode: 210000,  Step: 2410873, Episode_step: 26,  Reward_p1: -0.02, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.01
Episode: 220000,  Step: 2536178, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.0
Episode: 230000,  Step: 2662744, Episode_step: 26,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: -0.02, Reward_e: -1.02
Episode: 240000,  Step: 2790881, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 250000,  Step: 2915039, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 260000,  Step: 3040636, Episode_step: 20,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 270000,  Step: 3166314, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 280000,  Step: 3295027, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 290000,  Step: 3420104, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 300000,  Step: 3549638, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 310000,  Step: 3676564, Episode_step: 25,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -1.02, Reward_e: -0.02
Episode: 320000,  Step: 3805212, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 330000,  Step: 3933077, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 340000,  Step: 4060202, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 350000,  Step: 4192141, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
