cpu
Start!
Episode: 10000,  Step: 215240, Episode_step: 39,  Reward_p1: -0.04, Reward_p2: -0.04, Reward_p3: -0.04, Reward_e: -1.03
Episode: 20000,  Step: 470209, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 30000,  Step: 820142, Episode_step: 34,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.03
Episode: 40000,  Step: 1183404, Episode_step: 35,  Reward_p1: 0.98, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.03
Episode: 50000,  Step: 1644394, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 60000,  Step: 2321527, Episode_step: 278,  Reward_p1: 0.73, Reward_p2: 0.73, Reward_p3: 0.73, Reward_e: -1.26
Episode: 70000,  Step: 3063435, Episode_step: 38,  Reward_p1: -0.04, Reward_p2: -0.04, Reward_p3: -1.04, Reward_e: -0.03
Episode: 80000,  Step: 4100060, Episode_step: 90,  Reward_p1: 0.91, Reward_p2: 0.94, Reward_p3: 0.91, Reward_e: -1.07
Episode: 90000,  Step: 5265881, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 100000,  Step: 6540099, Episode_step: 44,  Reward_p1: 0.98, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.04
Episode: 110000,  Step: 7859910, Episode_step: 49,  Reward_p1: 0.96, Reward_p2: 0.95, Reward_p3: 0.95, Reward_e: -1.04
Episode: 120000,  Step: 9141500, Episode_step: 82,  Reward_p1: -0.07, Reward_p2: -0.08, Reward_p3: -1.07, Reward_e: -0.07
Episode: 130000,  Step: 10445754, Episode_step: 19,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.01
Episode: 140000,  Step: 11710008, Episode_step: 107,  Reward_p1: -1.1, Reward_p2: -0.08, Reward_p3: -0.1, Reward_e: -0.1
Episode: 150000,  Step: 13055762, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 160000,  Step: 14324963, Episode_step: 54,  Reward_p1: 0.95, Reward_p2: 0.95, Reward_p3: 0.96, Reward_e: -1.04
Episode: 170000,  Step: 15550997, Episode_step: 303,  Reward_p1: -0.27, Reward_p2: -0.26, Reward_p3: -0.29, Reward_e: -0.3
Episode: 180000,  Step: 16735193, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 190000,  Step: 17812598, Episode_step: 106,  Reward_p1: -0.1, Reward_p2: -0.1, Reward_p3: -1.1, Reward_e: -0.1
Episode: 200000,  Step: 18828106, Episode_step: 33,  Reward_p1: -0.03, Reward_p2: -0.02, Reward_p3: -0.03, Reward_e: -1.02
Episode: 210000,  Step: 19834818, Episode_step: 96,  Reward_p1: 0.91, Reward_p2: 0.91, Reward_p3: 0.91, Reward_e: -1.08
Episode: 220000,  Step: 20769852, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.01
Episode: 230000,  Step: 21741322, Episode_step: 174,  Reward_p1: 0.83, Reward_p2: 0.88, Reward_p3: 0.83, Reward_e: -1.13
Episode: 240000,  Step: 22670579, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 250000,  Step: 23534829, Episode_step: 100,  Reward_p1: 0.9, Reward_p2: 0.9, Reward_p3: 0.91, Reward_e: -1.09
Episode: 260000,  Step: 24419649, Episode_step: 129,  Reward_p1: -0.06, Reward_p2: -0.13, Reward_p3: -0.12, Reward_e: -1.12
Episode: 270000,  Step: 25274911, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
