option = indiv
required = 2.4
cpu
Start!
Episode: 10000,  Step: 156993, Episode_step: 21,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 20000,  Step: 301208, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 30000,  Step: 440510, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 40000,  Step: 583569, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 50000,  Step: 742228, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 60000,  Step: 912216, Episode_step: 17,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 70000,  Step: 1097853, Episode_step: 41,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 80000,  Step: 1318985, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 90000,  Step: 1560875, Episode_step: 17,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 1790769, Episode_step: 9,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 110000,  Step: 2052756, Episode_step: 31,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 120000,  Step: 2318610, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 130000,  Step: 2610708, Episode_step: 31,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 140000,  Step: 2910914, Episode_step: 137,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 150000,  Step: 3222985, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 160000,  Step: 3544820, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 170000,  Step: 3889973, Episode_step: 29,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 180000,  Step: 4227522, Episode_step: 22,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 190000,  Step: 4553849, Episode_step: 27,  Reward_p1: -1, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
