option = share
required = 2.4
cpu
Start!
Episode: 10000,  Step: 178561, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 20000,  Step: 350001, Episode_step: 24,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 30000,  Step: 537494, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 40000,  Step: 721799, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 50000,  Step: 904617, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 60000,  Step: 1098065, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 70000,  Step: 1313277, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 80000,  Step: 1551847, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 90000,  Step: 1817949, Episode_step: 30,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 2105349, Episode_step: 35,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 110000,  Step: 2399964, Episode_step: 72,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 120000,  Step: 2711795, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 130000,  Step: 3079112, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 140000,  Step: 3446343, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 150000,  Step: 3822625, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 160000,  Step: 4247983, Episode_step: 169,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 170000,  Step: 4665613, Episode_step: 21,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 180000,  Step: 5096970, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 190000,  Step: 5531702, Episode_step: 50,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 200000,  Step: 5988787, Episode_step: 23,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 210000,  Step: 6453220, Episode_step: 83,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 220000,  Step: 6929333, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 230000,  Step: 7434272, Episode_step: 60,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 240000,  Step: 7963239, Episode_step: 94,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 250000,  Step: 8454713, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
